Date,Pilot in Command,Aircraft Type,Registration,Departure,Arrival,Departure Time,Arrival Time,Total Time,SEL,SES,MEL,MES,Helicopter,Gyroplane,Powered Lift,Glider,Balloon,Airship,Solo,PIC,SIC,Dual Received,Instructor,Cross Country,Night,Actual Instrument,Simulated Instrument,Full Flight Simulator,Flight Training Device,Aviation Training Device,Takeoffs Day,Takeoffs Night,Landings Day,Landings Night,Precision Approaches,Non-Precision Approaches,Holding Patterns,Glider/Lighter-than-Air Launch Type,Remarks
2026-07-15,Emily Carter,Cessna 172S,N2860Q,KPAO,KWVI,1400,1515,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,3,0,3,0,0,0,0,,Dual cross-country to Watsonville
2026-07-14,Emily Carter,Piper PA-28-181,N734RL,KHWD,KMRY,0900,1050,1.8,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,4,0,0,0,0,,Sunset flight down the coast
2026-07-12,Emily Carter,Diamond DA40,N406TS,KCCR,KCCR,1930,2030,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,,Night pattern work — 3 full-stop taxi back
2026-07-10,Emily Carter,Cessna 172S,N2860Q,KPAO,KLVK,0700,0810,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.9,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,2,0,2,0,0,1,0,,Hood work under foggles with CFI
2026-07-08,Emily Carter,Robinson R22,N630SH,KHWD,KHWD,1100,1200,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,2,0,0,0,0,,Introductory helicopter lesson — hover training
2026-07-05,Emily Carter,Beechcraft Baron 58,N8688Q,KPAO,KSBA,0800,0930,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0,2,0,0,0,0,,
2026-07-03,Emily Carter,Cessna 172S,N2860Q,KPAO,KSNS,1430,1600,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0,2,0,0,0,0,,Hauled donation supplies to Wings of Mercy
2026-07-01,Emily Carter,Cirrus SR22,N900AT,KPAO,KTRK,0600,0645,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,,Dawn patrol to Truckee — smooth air
2026-06-28,Emily Carter,Schweizer SGS 2-33,N511JS,KHWD,KRHV,1300,1400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,Aero-Tow,Soaring over the East Bay hills — 15-min ridge lift
2026-06-25,Emily Carter,Cessna 172S,N2860Q,KPAO,KLVK,1000,1130,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2,0,2,0,0,0,0,,Practice instrument approaches at Livermore — VOR-A
